time_s,q_rad,q_deg,qd_rad,qd_deg,qdot_rad_s,qd_dot_rad_s,e_rad,edot_rad_s,tau_cmd_Nm,tq_cmd_permille,pos_counts
1.418154,1.702067,97.521240,0.315697,18.088088,0.003781,0.342427,-1.386370,0.338646,-20.626228,-1000.000000,88766
1.427110,1.702067,97.521240,0.317409,18.186186,0.003592,0.342427,-1.384658,0.338835,-20.600451,-1000.000000,88766
1.435162,1.702067,97.521240,0.319121,18.284284,0.003413,0.342427,-1.382946,0.339014,-20.574679,-1000.000000,88766
1.443162,1.702067,97.521240,0.320833,18.382382,0.003242,0.342427,-1.381234,0.339185,-20.548912,-1000.000000,88766
1.451129,1.702067,97.521240,0.322545,18.480480,0.003080,0.342427,-1.379522,0.339347,-20.523149,-1000.000000,88766
1.459252,1.702067,97.521240,0.324257,18.578579,0.002926,0.342427,-1.377809,0.339501,-20.497390,-1000.000000,88766
1.468154,1.702067,97.521240,0.325970,18.676677,0.002780,0.342427,-1.376097,0.339647,-20.471635,-1000.000000,88766
1.477087,1.702067,97.521240,0.327682,18.774775,0.002641,0.342427,-1.374385,0.339786,-20.445883,-1000.000000,88766
1.485130,1.702067,97.521240,0.329394,18.872873,0.002509,0.342427,-1.372673,0.339918,-20.420135,-1000.000000,88766
1.493175,1.702067,97.521240,0.331106,18.970971,0.002383,0.342427,-1.370961,0.340044,-20.394391,-1000.000000,88766
1.501140,1.702067,97.521240,0.332818,19.069069,0.002264,0.342427,-1.369249,0.340163,-20.368649,-1000.000000,88766
1.509162,1.702067,97.521240,0.334530,19.167167,0.002151,0.342427,-1.367537,0.340276,-20.342910,-1000.000000,88766
1.517175,1.702067,97.521240,0.336242,19.265265,0.002043,0.342427,-1.365824,0.340384,-20.317175,-1000.000000,88766
1.526103,1.702067,97.521240,0.337954,19.363363,0.001941,0.342427,-1.364112,0.340486,-20.291441,-1000.000000,88766
1.534156,1.702067,97.521240,0.339667,19.461461,0.001844,0.342427,-1.362400,0.340583,-20.265711,-1000.000000,88766
1.544134,1.702067,97.521240,0.341379,19.559560,0.001752,0.342427,-1.360688,0.340675,-20.239983,-1000.000000,88766
1.553139,1.702067,97.521240,0.343091,19.657658,0.001664,0.342427,-1.358976,0.340763,-20.214257,-1000.000000,88766
1.562086,1.702067,97.521240,0.344803,19.755756,0.001581,0.342427,-1.357264,0.340846,-20.188533,-1000.000000,88766
1.570137,1.702067,97.521240,0.346515,19.853854,0.001502,0.342427,-1.355552,0.340925,-20.162812,-1000.000000,88766
1.580071,1.702067,97.521240,0.348227,19.951952,0.001427,0.342427,-1.353839,0.341000,-20.137092,-1000.000000,88766
1.588205,1.702067,97.521240,0.349939,20.050050,0.001356,0.342427,-1.352127,0.341071,-20.111374,-1000.000000,88766
1.597077,1.702067,97.521240,0.351652,20.148148,0.001288,0.342427,-1.350415,0.341139,-20.085659,-1000.000000,88766
1.605229,1.702067,97.521240,0.353364,20.246246,0.001223,0.342427,-1.348703,0.341204,-20.059944,-1000.000000,88766
1.614072,1.702067,97.521240,0.355076,20.344344,0.001162,0.342427,-1.346991,0.341265,-20.034232,-1000.000000,88766
1.623188,1.702067,97.521240,0.356788,20.442442,0.001104,0.342427,-1.345279,0.341323,-20.008521,-1000.000000,88766
1.632081,1.702067,97.521240,0.358500,20.540541,0.001049,0.342427,-1.343567,0.341378,-19.982811,-1000.000000,88766
1.640239,1.702067,97.521240,0.360212,20.638639,0.000996,0.342427,-1.341855,0.341430,-19.957103,-1000.000000,88766
1.649059,1.702067,97.521240,0.361924,20.736737,0.000947,0.342427,-1.340142,0.341480,-19.931396,-1000.000000,88766
1.657146,1.702067,97.521240,0.363636,20.834835,0.000899,0.342427,-1.338430,0.341528,-19.905690,-1000.000000,88766
1.666062,1.702067,97.521240,0.365349,20.932933,0.000854,0.342427,-1.336718,0.341573,-19.879986,-1000.000000,88766
1.674191,1.702067,97.521240,0.367061,21.031031,0.000812,0.342427,-1.335006,0.341615,-19.854282,-1000.000000,88766
1.683043,1.702067,97.521240,0.368773,21.129129,0.000771,0.342427,-1.333294,0.341656,-19.828580,-1000.000000,88766
1.691170,1.702067,97.521240,0.370485,21.227227,0.000732,0.342427,-1.331582,0.341694,-19.802879,-1000.000000,88766
1.700063,1.702067,97.521240,0.372197,21.325325,0.000696,0.342427,-1.329870,0.341731,-19.777178,-1000.000000,88766
1.708165,1.702067,97.521240,0.373909,21.423423,0.000661,0.342427,-1.328157,0.341766,-19.751479,-1000.000000,88766
1.716079,1.702067,97.521240,0.375621,21.521522,0.000628,0.342427,-1.326445,0.341799,-19.725780,-1000.000000,88766
1.724174,1.702067,97.521240,0.377334,21.619620,0.000597,0.342427,-1.324733,0.341830,-19.700083,-1000.000000,88766
1.732066,1.702067,97.521240,0.379046,21.717718,0.000567,0.342427,-1.323021,0.341860,-19.674386,-1000.000000,88766
1.740148,1.702067,97.521240,0.380758,21.815816,0.000538,0.342427,-1.321309,0.341889,-19.648690,-1000.000000,88766
1.749062,1.702067,97.521240,0.382470,21.913914,0.000512,0.342427,-1.319597,0.341915,-19.622994,-1000.000000,88766
1.757163,1.702067,97.521240,0.384182,22.012012,0.000486,0.342427,-1.317885,0.341941,-19.597299,-1000.000000,88766
1.766062,1.702067,97.521240,0.385894,22.110110,0.000462,0.342427,-1.316173,0.341965,-19.571605,-1000.000000,88766
1.774165,1.702067,97.521240,0.387606,22.208208,0.000439,0.342427,-1.314460,0.341988,-19.545911,-1000.000000,88766
1.782091,1.702067,97.521240,0.389318,22.306306,0.000417,0.342427,-1.312748,0.342010,-19.520218,-1000.000000,88766
1.790171,1.702067,97.521240,0.391031,22.404404,0.000396,0.342427,-1.311036,0.342031,-19.494526,-1000.000000,88766
1.798076,1.702067,97.521240,0.392743,22.502503,0.000376,0.342427,-1.309324,0.342051,-19.468834,-1000.000000,88766
1.806145,1.702067,97.521240,0.394455,22.600601,0.000357,0.342427,-1.307612,0.342070,-19.443143,-1000.000000,88766
1.814088,1.702067,97.521240,0.396167,22.698699,0.000339,0.342427,-1.305900,0.342088,-19.417452,-1000.000000,88766
1.822206,1.702067,97.521240,0.397879,22.796797,0.000322,0.342427,-1.304188,0.342105,-19.391761,-1000.000000,88766
1.831112,1.702067,97.521240,0.399591,22.894895,0.000306,0.342427,-1.302475,0.342121,-19.366071,-1000.000000,88766
1.839156,1.702067,97.521240,0.401303,22.992993,0.000291,0.342427,-1.300763,0.342136,-19.340381,-1000.000000,88766
1.848279,1.702067,97.521240,0.403016,23.091091,0.000276,0.342427,-1.299051,0.342151,-19.314692,-1000.000000,88766
1.856150,1.702067,97.521240,0.404728,23.189189,0.000263,0.342427,-1.297339,0.342164,-19.289003,-1000.000000,88766
