time_s,q_rad,q_dot,q_ddot,tau_joint_Nm,tau_motor_load_Nm,tau_motor_rotor_Nm,tau_motor_friction_Nm,tau_motor_total_Nm
0.17200000000000001,0.5145796332334431,-0.6044863549923688,-5.698228730446061,0.2951560724959635,0.004919267874932725,-0.13128718994947727,-0.04699692610994437,-0.07937099596460019
0.17400000000000002,0.5133652993922047,-0.6174119747610557,-5.763680745340764,0.29298356312362833,0.004883059385393806,-0.13279520437265122,-0.04794136038039169,-0.07997078460686573
0.176,0.5121287323310084,-0.6294909160604585,-5.829651093174419,0.29078412494666306,0.004846402082444384,-0.13431516118673864,-0.04882063600665297,-0.08064812309764129
0.178,0.5108676793789232,-0.641029318797316,-5.882060580629172,0.28883486490031285,0.004813914415005214,-0.13552267577769614,-0.049657547224574806,-0.08105121413811611
0.18,0.5095805874309502,-0.6522494885372432,-5.91120230146052,0.28732681972389706,0.004788780328731618,-0.13619410102565038,-0.050468511067217704,-0.08093680962970107
0.182,0.5082666029480221,-0.6633207168420958,-5.911741636499585,0.2863649576201196,0.00477274929366866,-0.13620652730495045,-0.051265905241711804,-0.08016787276956998
0.184,0.5069255719570036,-0.6743901016072515,-5.882716253649988,0.2859681800074595,0.004766136333457658,-0.13553778248409573,-0.05206034726024967,-0.07871129889038841
0.186,0.5055580400506916,-0.6856133673989375,-5.82753610789203,0.2860693233721411,0.0047678220562023515,-0.13426643192583237,-0.05286292066735403,-0.076635689202276
0.188,0.5041652523878146,-0.6971856857915484,-5.7539834412790185,0.28651516121964526,0.004775252686994088,-0.13257177848706858,-0.05368734777270089,-0.0741091780273736
0.19,0.5027491536930333,-0.7093724957049647,-5.674212782940259,0.2870664061181825,0.004784440101969709,-0.1307338625189436,-0.05455210162783321,-0.07139732078914067
0.192,0.5013123882569399,-0.7225403237419052,-5.604750949077527,0.2873977118203013,0.0047899618636716886,-0.12913346186674624,-0.05548244029089239,-0.06886105971218216
0.194,0.4998616571118416,-0.7355475868554191,-5.608761280488636,0.28626328596242434,0.004771054766040406,-0.1292258599024582,-0.05639727892669381,-0.06805752620972397
0.196,0.49838807704989024,-0.7476512202323651,-5.597225617702776,0.28541919822807404,0.004756986637134568,-0.12896007823187197,-0.0572448095845525,-0.0669582820101849
0.198,0.49689022458997956,-0.7590315515993729,-5.561247203806914,0.28504052936505847,0.004750675489417641,-0.12813113557571132,-0.05803835697162046,-0.06534210311467323
0.2,0.49536731454435096,-0.7698202557139013,-5.495918615308341,0.28522383301063514,0.004753730550177252,-0.1266259648967042,-0.058787636053708445,-0.0630845982928185
0.202,0.4938192000185931,-0.78012847525376,-5.400321762137224,0.2859871375302623,0.004766452292171038,-0.12442341339964166,-0.05950077996468871,-0.060156181142781914
0.20400000000000001,0.4922463724116421,-0.7900749417065743,-5.277527887643316,0.2872699479342311,0.0047878324655705184,-0.12159424253130201,-0.06018631394277886,-0.05662009612295263
0.20600000000000002,0.4906499614157813,-0.7998140962593528,-5.134597568598508,0.2889332478713831,0.004815554131189718,-0.11830112798050964,-0.060855082080603376,-0.05263049176871655
0.20800000000000002,0.4890317350166416,-0.8095642106879337,-4.982580715194786,0.2907595016939045,0.004845991694898409,-0.11479865967808787,-0.06152212904252094,-0.048430538940668524
0.21,0.4873940994932011,-0.8196355082465339,-4.836516571046701,0.2924526565813089,0.0048742109430218155,-0.111433341796916,-0.06220853179271357,-0.04435059906118061
0.212,0.48574009941778556,-0.8304582845572566,-4.715433713188901,0.293638144706749,0.004893969078445816,-0.10864359275187228,-0.06294316407729025,-0.04080645959613621
0.214,0.4840744548496465,-0.8416497073735696,-4.657307126522738,0.2935674963428068,0.004892791605713447,-0.1073043561950839,-0.0636995409058331,-0.03871202368353735
0.216,0.4823886320313476,-0.8519984092602488,-4.570678799404334,0.29404529424518394,0.004900754904086399,-0.10530843953827586,-0.0643959740982444,-0.03601171053594507
0.218,0.4806822150893669,-0.8615407432170955,-4.452949522322115,0.2951226613029207,0.004918711021715345,-0.10259595699430153,-0.06503557993172487,-0.032641666040861314
0.22,0.4789552777417718,-0.8703055251798251,-4.304580033196601,0.29679049231355603,0.004946508205225934,-0.09917752396484969,-0.06562088929282224,-0.028610126466801514
0.222,0.47720838329821824,-0.878335603649504,-4.129091017377675,0.2989794555992039,0.004982990926653399,-0.09513425704038164,-0.06615529442776849,-0.023995971685959752
0.224,0.4754425846599515,-0.8857094293219941,-3.9330631076488203,0.30155999466288164,0.0050259999110480276,-0.09061777400022883,-0.06664446765504908,-0.018947306434131714
0.226,0.4736594243198057,-0.8925626247173728,-3.7261368842218303,0.304342329880394,0.005072372164673234,-0.08585019381247097,-0.06709775952899598,-0.013680062118801753
0.228,0.47186093436220355,-0.8991095538094238,-3.521012874740677,0.30707646021929624,0.0051179410036549374,-0.0811241366340252,-0.06752958060617618,-0.008476615024194084
0.23,0.47004963646315717,-0.9056648916550033,-3.3334515542795486,0.30945216497413164,0.005157536082902194,-0.07680272381060081,-0.06796076394043411,-0.0036844237872645097
0.232,0.46822854189026764,-0.9126651940235471,-3.1822733453452656,0.3110990055037679,0.005184983425062798,-0.07331957787675493,-0.0684198930163011,0.0002852985646089601
0.234,0.4664011367582348,-0.9203212951142661,-3.0907455926786156,0.31155885393623106,0.005192647565603851,-0.0712107784553153,-0.06892046455385399,0.0029023336641425396
0.23600000000000002,0.4645594875839054,-0.9273019839372582,-2.969875659925492,0.3125878766345479,0.005209797943909132,-0.06842593520468335,-0.06937544178762944,0.0061593045268552304
0.23800000000000002,0.46270388944695107,-0.9335575974910787,-2.821507795032943,0.31414975171979637,0.00523582919532994,-0.065007539597559,-0.06978199449124535,0.010010284089016282
0.24,0.46083493677793597,-0.9390580670714671,-2.6493571890280805,0.3161713357091602,0.005269522261819337,-0.06104118963520698,-0.07013855641076025,0.014366889037372606
0.242,0.4589535233583176,-0.9438061065857791,-2.4590099760196438,0.3185426645641288,0.0053090444094021465,-0.056655589847492596,-0.0704456532734928,0.01909910783540235
0.244,0.4570608423204459,-0.9478504008674895,-2.2579232331954415,0.32111695474630925,0.00535194924577182,-0.052022551292822974,-0.07070672774506624,0.02403612569801509
0.246,0.4551583861475642,-0.9512987939905663,-2.055424980824654,0.3237106042767015,0.005395176737945025,-0.04735699155820003,-0.07092896682735791,0.02896715200710291
0.248,0.4532479466738082,-0.9543314775840362,-1.8627141822568944,0.32610319379358016,0.005435053229893003,-0.04291693475919885,-0.07112413443060124,0.03364225290129539
0.25,0.4513316150842067,-0.957214179146373,-1.692860743921841,0.32803748760289986,0.005467291460048331,-0.03900351153995922,-0.0713094065410447,0.03777318646113381
0.252,0.44941178191468145,-0.960311350359977,-1.5608055153297187,0.32921943471425474,0.005486990578570912,-0.03596095907319672,-0.07150819791864006,0.04103422942401425
0.254,0.4474905870540401,-0.9641799967450595,-1.4772219184604864,0.3294392985662204,0.005490654976103673,-0.03403519300132961,-0.07175612047874133,0.0432115824535154
0.256,0.44556148700717857,-0.9677099887538899,-1.3663565974761411,0.33019210346147526,0.005503201724357921,-0.031480856005850294,-0.07198196584298935,0.04600431156149698
0.258,0.4436252260479557,-0.9707812685021878,-1.2328612639936978,0.33138629174203327,0.005523104862367221,-0.0284051235224148,-0.07217817208801365,0.049296153427966075
0.26,0.44168265942547646,-0.9733090126954292,-1.082081224920472,0.3329166578526903,0.005548610964211506,-0.024931151422167678,-0.072339451474894,0.05295691101693782
0.262,0.43973475336409273,-0.9752485217957146,-0.9200553824537963,0.33466434872157286,0.005577739145359547,-0.021198076011735466,-0.07246307456537965,0.05684273769900373
0.264,0.43778258506340223,-0.9766001091885456,-0.7535162340817578,0.33649686413619423,0.0056082810689365705,-0.0173610140332437,-0.07254915980597601,0.06079642684166888
0.266,0.43582734269824963,-0.9774139903496171,-0.5898898725816366,0.3382680571137371,0.005637800951895618,-0.013591062664280909,-0.07260097207852337,0.06464771036613808
0.268,0.43387032541872583,-0.9777951720116116,-0.43729598602271835,0.3398181342639734,0.005663635571066223,-0.010075299517963432,-0.07262523181354048,0.06821356786664327
0.27,0.4319129433501683,-0.9779083413310588,-0.3045478577634242,0.34097365614346925,0.005682894269057821,-0.0070167826428692934,-0.07263243349812312,0.07129854512431165
0.272,0.4299567175931608,-0.9779827550550361,-0.20115236645264645,0.34154753759922896,0.005692458959987149,-0.004634550523068975,-0.07263716871596637,0.07369507715288455
0.274,0.4280014844577752,-0.9785804259259507,-0.11726795747691199,0.3417345259503042,0.0056955754325050695,-0.0027018537402680523,-0.07267519490768284,0.07566891659991987
0.276,0.42604372551421305,-0.9792069036410549,-0.008533989334893022,0.3424103136776736,0.00570683856129456,-0.00019662311427593522,-0.07271504283893758,0.07822525828595621
0.278,0.4240843364025819,-0.9796077588481851,0.12118491896728756,0.3434990585620869,0.005724984309368115,0.0027921005330063054,-0.07274053381295158,0.08125761865532599
0.28,0.422124511540448,-0.9796341235536341,0.2644236576389858,0.3448538570306349,0.0057475642838439155,0.006092321072002233,-0.07274221022087722,0.08458209557672337
0.28200000000000003,0.42016539119420676,-0.979188558616863,0.414055561709489,0.3463344689392383,0.005772241148987305,0.009539840141786627,-0.07271387614078167,0.08802595743155561
0.28400000000000003,0.41820806147908235,-0.978222668046379,0.5632924110276178,0.34780731735851533,0.005796788622641922,0.012978257150076316,-0.07265243417053059,0.09142747994324883
0.28600000000000003,0.41625355435912814,-0.9767347132955533,0.7056844302598222,0.349145488357965,0.00581909147263275,0.016258969273186305,-0.07255773012072514,0.0946357908665442
0.28800000000000003,0.41430284764722625,-0.9747672275584846,0.8351202888928526,0.3502287307893993,0.005837145513156655,0.019241171456091326,-0.07243240728270323,0.0975107242519512
0.29,0.4123568650050879,-0.972404630065779,0.9458271012317425,0.35094345607019983,0.005849057601169997,0.021791856412379348,-0.072281769659932,0.09992268367348134
0.292,0.41041647594325315,-0.9697708403804307,1.0323704264012008,0.35118273796725585,0.005853045632787598,0.02378581462428367,-0.07211365162697984,0.10175251188405111
0.294,0.408480136654409,-0.9673727964219702,1.1159842536347355,0.3513658513697746,0.005856097522829577,0.02571227720374431,-0.07196040806778137,0.10352878279435526
0.296,0.40654592520757793,-0.9652204325333057,1.223878125025493,0.35203009517722417,0.005867168252953736,0.028198152000587364,-0.07182272369040343,0.10588804394394453
0.298,0.4046152298957418,-0.9630242140918953,1.3486070195555726,0.35302912543187165,0.005883818757197861,0.031071905730560394,-0.0716820969699584,0.10863782145771667
0.3,0.4026894951905613,-0.9605993113664496,1.4811429893476884,0.35418530251768215,0.005903088375294702,0.03412553447457074,-0.07152666669577626,0.1115552895456417
0.302,0.40076997090104166,-0.9578202447420769,1.6136747281165071,0.355344931275002,0.005922415521250033,0.037179065735804324,-0.07134832834678063,0.114449809603835
0.304,0.39885771217353355,-0.9546123085897876,1.739607571173309,0.35637826033326087,0.005939637672221014,0.04008055843983304,-0.07114219396164881,0.11716239007370285
0.306,0.39695357949173193,-0.9509429951361136,1.8535634954216675,0.35717948145376566,0.005952991357562761,0.042706102934515225,-0.07090605228535964,0.11956514657743762
0.308,0.39505823867667733,-0.946813418332578,1.9513811193611161,0.3576667288851879,0.005961112148086465,0.04495982099008012,-0.07063983095681939,0.12156076409498598
0.31,0.3931721608867546,-0.942249737725291,2.03011570308405,0.35778207873320306,0.005963034645553384,0.04677386579905651,-0.07034505990726884,0.12308196035187874
0.312,0.3912956226176937,-0.9372945823244627,2.0880391482787957,0.357491548345808,0.005958192472430133,0.048108421976343456,-0.0700243337372406,0.12409094818601418
0.314,0.3894266170334255,-0.93230471754268,2.1479510377834288,0.35724505254161254,0.005954084209026876,0.049488791910530204,-0.06970065823539023,0.12514353435494732
0.316,0.3875640308272778,-0.927659047694725,2.226416884115338,0.3573697523731907,0.005956162539553178,0.051296645010017385,-0.06939867709413537,0.12665148464370593
